Date,Value
12/18/2020,0.74090872
12/17/2020,0.735342153
12/16/2020,0.737960456
12/15/2020,0.747899506
12/14/2020,0.745765499
12/11/2020,0.761062093
12/10/2020,0.75196038
12/9/2020,0.743248823
12/8/2020,0.752377415
12/7/2020,0.752102573
12/4/2020,0.74251172
12/3/2020,0.743626039
12/2/2020,0.749958561
12/1/2020,0.750317513
11/30/2020,0.749958264
11/27/2020,0.750226472
11/26/2020,0.748983193
11/25/2020,0.74961312
11/24/2020,0.75020649
11/23/2020,0.746895219
11/20/2020,0.753544635
11/19/2020,0.755392157
11/18/2020,0.753058645
11/17/2020,0.753955563
11/16/2020,0.759247675
11/13/2020,0.759060516
11/12/2020,0.761300992
11/11/2020,0.755864355
11/10/2020,0.755276084
11/9/2020,0.759269545
11/6/2020,0.761836563
11/5/2020,0.762969211
11/4/2020,0.767460114
11/3/2020,0.769458212
11/2/2020,0.772854446
10/30/2020,0.771140366
10/29/2020,0.772641832
10/28/2020,0.773104801
10/27/2020,0.766717377
10/26/2020,0.767873763
10/23/2020,0.764802632
10/22/2020,0.763666356
10/21/2020,0.765727303
10/20/2020,0.773319221
10/19/2020,0.768672041
10/16/2020,0.774337791
10/15/2020,0.773935716
10/14/2020,0.769319149
10/13/2020,0.768567065
10/12/2020,0.767844733
10/9/2020,0.772929207
10/8/2020,0.773778156
10/7/2020,0.776661003
10/6/2020,0.772005087
10/5/2020,0.771668933
10/2/2020,0.773000853
10/1/2020,0.771979238
9/30/2020,0.779253502
9/29/2020,0.777328662
9/28/2020,0.775561268
9/25/2020,0.785138387
9/24/2020,0.783409188
9/23/2020,0.785879234
9/22/2020,0.781456559
9/21/2020,0.777195215
9/18/2020,0.771723147
9/17/2020,0.775875223
9/16/2020,0.770267082
9/15/2020,0.774428187
9/14/2020,0.776271472
9/11/2020,0.779551206
9/10/2020,0.772976622
9/9/2020,0.774764291
9/8/2020,0.767526517
9/7/2020,0.759768268
9/4/2020,0.754306705
9/3/2020,0.754550072
9/2/2020,0.749009358
9/1/2020,0.742262451
8/31/2020,0.750460637
8/28/2020,0.750885439
8/27/2020,0.758131459
8/26/2020,0.76079396
8/25/2020,0.761342475
8/24/2020,0.761163164
8/21/2020,0.762639137
8/20/2020,0.760953586
8/19/2020,0.757102154
8/18/2020,0.759071057
8/17/2020,0.764574369
8/14/2020,0.763337002
8/13/2020,0.763737007
8/12/2020,0.768626285
8/11/2020,0.762479844
8/10/2020,0.766428632
8/7/2020,0.764771092
8/6/2020,0.760221228
8/5/2020,0.761472921
8/4/2020,0.767828304
8/3/2020,0.767636023
7/31/2020,0.76006921
7/30/2020,0.768696245
7/29/2020,0.7708742
7/28/2020,0.776376206
7/27/2020,0.77670068
7/24/2020,0.783812888
7/23/2020,0.788270378
7/22/2020,0.787035757
7/21/2020,0.786987678
7/20/2020,0.791186233
7/17/2020,0.796972349
7/16/2020,0.796171368
7/15/2020,0.791156938
7/14/2020,0.798048352
7/13/2020,0.793874128
7/10/2020,0.794341965
7/9/2020,0.790469053
7/8/2020,0.796765905
7/7/2020,0.798494243
7/6/2020,0.799161148
7/3/2020,0.802922309
7/2/2020,0.799441786
7/1/2020,0.807410714
6/30/2020,0.814815146
6/29/2020,0.81123715
6/26/2020,0.80776777
6/25/2020,0.804758929
6/24/2020,0.800913121
6/23/2020,0.800759852
6/22/2020,0.805564969
6/19/2020,0.8073595
6/18/2020,0.802245589
6/17/2020,0.796367521
6/16/2020,0.790325433
6/15/2020,0.796658669
6/12/2020,0.793108634
6/11/2020,0.790139232
6/10/2020,0.782092308
6/9/2020,0.789091553
6/8/2020,0.790190518
6/5/2020,0.789479259
6/4/2020,0.7972
6/3/2020,0.795649455
6/2/2020,0.797234652
6/1/2020,0.806702051
5/29/2020,0.808979885
5/28/2020,0.814524328
