Date,Value
12/18/2020,1.275634228
12/17/2020,1.269475747
12/16/2020,1.275822463
12/15/2020,1.274546952
12/14/2020,1.272488078
12/11/2020,1.2770677
12/10/2020,1.275773834
12/9/2020,1.27772731
12/8/2020,1.280171702
12/7/2020,1.281085092
12/4/2020,1.285714286
12/3/2020,1.291416344
12/2/2020,1.294463783
12/1/2020,1.296958556
11/30/2020,1.295158598
11/27/2020,1.299865794
11/26/2020,1.300168067
11/25/2020,1.30176619
11/24/2020,1.306700379
11/23/2020,1.304932359
11/20/2020,1.305234764
11/19/2020,1.310091278
11/18/2020,1.307212673
11/17/2020,1.309543848
11/16/2020,1.308199493
11/13/2020,1.314261532
11/12/2020,1.309727758
11/11/2020,1.305796362
11/10/2020,1.303607724
11/9/2020,1.294959185
11/6/2020,1.307919124
11/5/2020,1.305609447
11/4/2020,1.314819555
11/3/2020,1.314732524
11/2/2020,1.327325781
10/30/2020,1.329799966
10/29/2020,1.337833219
10/28/2020,1.328387482
10/27/2020,1.317528736
10/26/2020,1.318216431
10/23/2020,1.312668691
10/22/2020,1.316216902
10/21/2020,1.312605467
10/20/2020,1.318966977
10/19/2020,1.31718286
10/16/2020,1.319904608
10/15/2020,1.320995042
10/14/2020,1.313361702
10/13/2020,1.310766098
10/12/2020,1.313077379
10/9/2020,1.317676982
10/8/2020,1.324521887
10/7/2020,1.328802039
10/6/2020,1.32513777
10/5/2020,1.326818491
10/2/2020,1.330179028
10/1/2020,1.328795099
9/30/2020,1.338913563
9/29/2020,1.337805503
9/28/2020,1.338474722
9/25/2020,1.337459171
9/24/2020,1.339630743
9/23/2020,1.333732467
9/22/2020,1.331431005
9/21/2020,1.32383134
9/18/2020,1.318431505
9/17/2020,1.319572773
9/16/2020,1.316707389
9/15/2020,1.314665321
9/14/2020,1.317025935
9/11/2020,1.317867387
9/10/2020,1.315385265
9/9/2020,1.321923044
9/8/2020,1.31718286
9/7/2020,1.309539919
9/4/2020,1.309576085
9/3/2020,1.3113519
9/2/2020,1.306382261
9/1/2020,1.301409861
8/31/2020,1.306616415
