Date,Value
12/18/2020,103.3444816
12/17/2020,103.0458925
12/16/2020,103.3472803
12/15/2020,103.8550247
12/14/2020,103.691827
12/11/2020,104.1312773
12/10/2020,104.4407759
12/9/2020,104.0961268
12/8/2020,104.1604755
12/7/2020,104.1391821
12/4/2020,103.9888149
12/3/2020,104.0984281
12/2/2020,104.5333996
12/1/2020,104.3783422
11/30/2020,104.1652755
11/27/2020,104.202315
11/26/2020,104.2352941
11/25/2020,104.4491169
11/24/2020,104.5596292
11/23/2020,103.7475842
11/20/2020,103.8354548
11/19/2020,104.0229885
11/18/2020,103.875969
11/17/2020,104.1743814
11/16/2020,104.9450549
11/13/2020,104.8497672
11/12/2020,105.3769824
11/11/2020,105.4479007
11/10/2020,105.3184282
11/9/2020,104.9145839
11/6/2020,103.3361415
11/5/2020,103.6355968
11/4/2020,104.3511646
11/3/2020,104.7342335
11/2/2020,104.6429797
10/30/2020,104.5990768
10/29/2020,104.3147642
10/28/2020,104.340411
10/27/2020,104.5807978
10/26/2020,105.0342669
10/23/2020,104.7317814
10/22/2020,104.6611962
10/21/2020,104.8515019
10/20/2020,105.6646909
10/19/2020,105.3118371
10/16/2020,105.2636062
10/15/2020,105.2744059
10/14/2020,105.2765957
10/13/2020,105.5230339
10/12/2020,105.4411391
10/9/2020,105.9347181
10/8/2020,105.9838504
10/7/2020,105.9728122
10/6/2020,105.6210259
10/5/2020,105.5829368
10/2/2020,105.200341
10/1/2020,105.4969367
9/30/2020,105.7055005
9/29/2020,105.631516
9/28/2020,105.4155955
9/25/2020,105.5011174
9/24/2020,105.3928725
9/23/2020,105.1231611
9/22/2020,104.5826235
9/21/2020,104.0977348
9/18/2020,104.3606862
9/17/2020,104.5859117
9/16/2020,105.0804617
9/15/2020,105.4406324
9/14/2020,105.9447625
9/11/2020,106.1413869
9/10/2020,106.1355389
9/9/2020,106.2176166
9/8/2020,106.2367416
9/7/2020,106.2161705
9/4/2020,106.2236109
9/3/2020,106.5351731
9/2/2020,106.2305033
9/1/2020,105.8813715
8/31/2020,105.921273
8/28/2020,105.2370961
8/27/2020,106.1663561
8/26/2020,106.3194503
8/25/2020,106.3737938
8/24/2020,105.7314088
8/21/2020,105.8118787
8/20/2020,105.8734177
8/19/2020,105.3716584
8/18/2020,105.442634
8/17/2020,106.2937653
8/14/2020,106.6706171
8/13/2020,106.9720274
8/12/2020,106.9747685
8/11/2020,106.0595774
8/10/2020,106.0443764
8/7/2020,105.7036473
8/6/2020,105.5138056
8/5/2020,105.7617682
8/4/2020,106.0603485
8/3/2020,106.1828415
7/31/2020,104.9206617
7/30/2020,105.2371626
7/29/2020,105.1428571
7/28/2020,105.265853
7/27/2020,105.3401361
7/24/2020,106.2715369
7/23/2020,107.1657014
7/22/2020,107.0478494
7/21/2020,107.2271258
7/20/2020,107.1191474
7/17/2020,107.219111
7/16/2020,107.0965481
7/15/2020,106.8245369
7/14/2020,107.4021978
7/13/2020,107.1586195
7/10/2020,106.8463994
7/9/2020,107.2738494
7/8/2020,107.5580365
7/7/2020,107.7147919
7/6/2020,107.5320088
7/3/2020,107.5196009
7/2/2020,107.4251285
7/1/2020,107.4196429
6/30/2020,107.7513842
6/29/2020,107.2935129
6/26/2020,106.9562115
6/25/2020,107.3660714
6/24/2020,106.6489362
6/23/2020,106.9535254
6/22/2020,106.9205387
6/19/2020,106.8421053
6/18/2020,106.9328106
6/17/2020,107.4163105
6/16/2020,107.3487796
6/15/2020,107.3758109
6/12/2020,107.2717622
6/11/2020,107.0849489
6/10/2020,107.3934066
6/9/2020,108.1459182
6/8/2020,109.3575543
6/5/2020,109.2409532
6/4/2020,108.8711111
6/3/2020,108.5760229
6/2/2020,108.1349561
6/1/2020,107.7275999
5/29/2020,107.1210489
5/28/2020,107.7342048
5/27/2020,107.8882722
5/26/2020,107.4441913
5/25/2020,107.6718607
5/22/2020,107.538518
5/21/2020,107.6545455
5/20/2020,107.6382552
5/19/2020,107.7625571
5/18/2020,107.3762925
5/15/2020,106.9920356
5/14/2020,107.005189
5/13/2020,106.9241379
5/12/2020,107.3494198
5/11/2020,107.3170732
5/8/2020,106.3727751
5/7/2020,106.5658908
5/6/2020,106.0886462
5/5/2020,106.714009
5/4/2020,106.78121
4/30/2020,106.5373299
4/29/2020,106.5486073
4/28/2020,106.7022157
4/27/2020,107.0954663
4/24/2020,107.6111111
4/23/2020,107.4545117
4/22/2020,107.6746112
4/21/2020,107.4005721
4/20/2020,107.8360958
4/17/2020,107.6058932
4/16/2020,107.5679647
4/15/2020,107.4199762
4/14/2020,107.3246374
4/9/2020,108.8892979
4/8/2020,108.8768283
4/7/2020,108.9113459
4/6/2020,108.9241034
4/3/2020,108.5767269
4/2/2020,107.3354117
4/1/2020,107.4890271
3/31/2020,108.5250091
